,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
1207,Robert Whittaker,Derek Brunson,Red,Middleweight,5,Orthodox,25.0,182.88,185.42,Southpaw,32.0,185.42,195.58
1208,Jake Matthews,Andrew Holbrook,Blue,Lightweight,3,Orthodox,22.0,180.34,185.42,Southpaw,30.0,180.34,177.8
1209,Kyle Noke,Omari Akhmedov,Blue,Welterweight,3,Southpaw,36.0,185.42,193.04,Orthodox,29.0,182.88,185.42
1210,Yusuke Kasuya,Alexander Volkanovski,Blue,Lightweight,3,Southpaw,27.0,170.18,170.18,Orthodox,28.0,167.64,180.34
1211,Khalil Rountree Jr.,Tyson Pedro,Blue,Light Heavyweight,3,Southpaw,26.0,185.42,193.04,Orthodox,25.0,190.5,200.66
1212,Seohee Ham,Danielle Taylor,Blue,Women's Strawweight,3,Southpaw,29.0,157.48000000000005,157.48,Orthodox,27.0,152.4,152.4
1213,Daniel Kelly,Chris Camozzi,Red,Middleweight,3,Southpaw,39.0,182.88,177.8,Orthodox,30.0,187.96,193.04
1214,Damien Brown,Jon Tuck,Red,Lightweight,3,Orthodox,31.0,177.8,172.72,Orthodox,32.0,180.34,185.42
1215,Richard Walsh,Jonathan Meunier,Blue,Welterweight,3,,27.0,182.88,185.42,Switch,29.0,190.5,190.5
1216,Ben Nguyen,Geane Herrera,Red,Flyweight,3,Switch,28.0,165.1,165.1,Orthodox,26.0,165.1,167.64
1217,Dan Hooker,Jason Knight,Blue,Featherweight,3,Switch,26.0,182.88,190.5,Orthodox,24.0,177.8,180.34
1218,Marlon Vera,Ning Guangyou,Red,Featherweight,3,Switch,23.0,172.72,177.8,Southpaw,34.0,162.56,162.56
1219,Yao Zhikui,Jenel Lausa,Blue,Flyweight,3,Orthodox,25.0,165.1,162.56,Orthodox,28.0,165.1,172.72
1220,Ryan Bader,Rogerio Nogueira,Red,Light Heavyweight,5,Orthodox,33.0,187.96,187.96,Southpaw,40.0,187.96,190.5
1221,Thomas Almeida,Albert Morales,Red,Bantamweight,3,Southpaw,25.0,170.18,177.8,Orthodox,25.0,175.26,182.88
1222,Claudia Gadelha,Cortney Casey,Red,Women's Strawweight,3,Orthodox,27.0,162.56,160.02,Orthodox,29.0,170.18,170.18
