,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3157,Diego Brandao,Darren Elkins,Blue,Featherweight,3,24.0,170.18,172.72,28.0,177.8,180.34
3158,Edson Barboza,Jamie Varner,Blue,Lightweight,3,26.0,180.34,190.5,27.0,172.72,182.88
3159,Jason Miller,CB Dollaway,Blue,Middleweight,3,31.0,185.42,182.88,28.0,187.96,193.04
3160,Dan Hardy,Duane Ludwig,Red,Welterweight,3,30.0,182.88,187.96,33.0,177.8,177.8
3161,Jacob Volkmann,Paul Sass,Blue,Lightweight,3,31.0,175.26,180.34,23.0,182.88,185.42
3162,Kyle Kingsbury,Glover Teixeira,Blue,Light Heavyweight,3,30.0,193.04,193.04,32.0,187.96,193.04
3163,Mike Brown,Daniel Pineda,Red,Featherweight,3,36.0,167.64,177.8,26.0,170.18,175.26
3164,Chan Sung Jung,Dustin Poirier,Red,Featherweight,5,25.0,170.18,182.88,23.0,175.26,182.88
3165,Amir Sadollah,Jorge Lopez,Red,Welterweight,3,31.0,177.8,187.96,23.0,177.8,182.88
3166,Donald Cerrone,Jeremy Stephens,Red,Lightweight,3,29.0,185.42,185.42,25.0,172.72,180.34
3167,Yves Jabouin,Jeff Hougland,Red,Bantamweight,3,32.0,170.18,172.72,33.0,170.18,172.72
3168,Igor Pokrajac,Fabio Maldonado,Red,Light Heavyweight,3,33.0,182.88,193.04,32.0,185.42,190.5
3169,Jason MacDonald,Tom Lawlor,Blue,Middleweight,3,36.0,190.5,203.2,29.0,182.88,187.96
3170,Brad Tavares,Dongi Yang,Red,Middleweight,3,24.0,185.42,187.96,27.0,177.8,180.34
3171,Cody McKenzie,Marcus LeVesseur,Red,Lightweight,3,24.0,182.88,182.88,29.0,175.26,177.8
3172,TJ Grant,Carlo Prater,Red,Lightweight,3,28.0,177.8,182.88,30.0,180.34,182.88
3173,Rafael Dos Anjos,Kamal Shalorus,Red,Lightweight,3,27.0,172.72,177.8,39.0,172.72,172.72
